Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Odyssey Sims,ATL,G,30,30,21,25.1,3.5,9.5,0.37,0.5,2.3,0.232,3,7.2,0.414,1.2,1.6,0.729,0.5,2.5,3.6,1.2,0.1,1.6,1.5,8.7
Michaela Onyenwere,NYL,F,32,32,29,22.2,2.8,7.1,0.401,1.2,3.5,0.327,1.7,3.6,0.474,1.8,2.1,0.836,0.7,2.9,0.6,0.4,0.3,1.1,2.5,8.6
Nia Coffey,LAS,F,32,32,17,25.2,2.9,6.9,0.421,1.6,3.8,0.417,1.3,3.2,0.426,0.9,1.1,0.778,0.6,3.8,0.9,0.8,1.2,1.4,2.7,8.3
Monique Billings,ATL,F,31,31,9,23.9,3.2,6.5,0.495,0,0.1,0,3.2,6.5,0.5,1.7,2.5,0.675,2.8,6.5,1,1.2,1,1.4,2.5,8.1
Brianna Turner,PHO,F,32,32,32,31.1,3.4,6.1,0.554,0,0,0,3.4,6.1,0.557,1,1.4,0.717,2.4,9.4,1.8,0.8,1.3,1.5,2.2,7.8
Crystal Dangerfield,MIN,G,31,31,10,20.1,2.8,7.2,0.388,0.9,2.5,0.359,1.9,4.7,0.404,1.2,1.4,0.857,0.3,2,2.8,0.7,0.1,1.4,1.9,7.7
Damiris Dantas,MIN,F,24,24,20,23.8,2.8,7.3,0.377,1.4,4.3,0.333,1.3,3,0.438,0.8,1,0.75,0.6,4,2.3,0.4,0.3,1.8,2,7.7
Natisha Hiedeman,CON,G,32,32,5,20.1,2.4,6.1,0.4,1.6,4,0.398,0.8,2.1,0.403,1.1,1.6,0.7,0.2,1.9,1.9,0.8,0.2,0.9,1.9,7.6
Stefanie Dolson,CHI,C,24,24,15,20,3,6.1,0.486,0.8,2,0.404,2.2,4.1,0.525,0.8,0.8,0.947,0.7,3.5,1.3,0.3,0.8,1.3,2.7,7.5
Kayla Thornton,DAL,F,31,31,25,27.6,2.7,6.4,0.421,0.7,2,0.349,2,4.3,0.455,1.5,1.7,0.849,2.1,5.6,1.5,0.8,0.2,1,2,7.5
Azura Stevens,CHI,F-C,30,30,11,19.6,3,6,0.5,0.5,1.5,0.333,2.5,4.5,0.556,0.9,1.1,0.813,1.6,4.6,0.8,0.8,0.7,0.9,1.8,7.4
Mercedes Russell,SEA,C,30,30,28,24.7,3.1,5,0.617,0,0,,3.1,5,0.617,1.2,1.6,0.766,1.7,6.1,1.6,0.9,0.4,1.3,2.6,7.3
Briann January,CON,G,29,29,29,30.2,2.4,5.8,0.425,0.9,2.4,0.38,1.5,3.3,0.458,1.1,1.3,0.868,0.3,1.4,3.1,0.9,0.1,1.8,2,7
Chiney Ogwumike,LAS,F-C,7,7,3,19.1,2.9,7,0.408,0.4,0.6,0.75,2.4,6.4,0.378,0.9,1.1,0.75,1.6,4.1,1.3,0.9,0.4,0.9,3.3,7
Katie Lou Samuelson,SEA,F,27,27,24,21,2.7,5.9,0.456,1,2.7,0.351,1.7,3.1,0.548,0.7,1,0.731,0.4,3.5,1.7,0.7,0.3,1.1,1.7,7
Shatori Walker-Kimbrough,TOT,G,17,17,13,20.6,2.4,4.6,0.513,0.5,1.5,0.32,1.9,3.1,0.604,1.8,2.1,0.857,0.2,1.4,0.9,0.7,0.3,1.2,1.6,6.9
Victoria Vivians,IND,G,31,31,8,21.3,2.5,7.5,0.333,1,4.1,0.252,1.5,3.4,0.433,0.8,1,0.833,0.5,3.1,1.3,1.1,0.1,1.3,1.8,6.8
Ezi Magbegor,SEA,C,30,30,3,15.2,2.7,5.3,0.506,0.2,0.3,0.556,2.5,5,0.503,1.1,1.3,0.846,1.5,3.9,0.8,0.6,1,0.9,2.2,6.7
Astou Ndour,CHI,C-F,20,20,8,17.1,2.3,5.8,0.397,0.4,1.7,0.235,1.9,4.1,0.463,1.6,1.7,0.941,1.6,4.8,0.4,0.4,0.8,0.9,2.2,6.6
Jantel Lavender,IND,F,27,27,14,20,2.8,7,0.404,0.1,0.7,0.2,2.7,6.2,0.429,0.7,0.7,0.9,1.7,3.9,1.5,0,0.1,1.4,1.8,6.4
Leilani Mitchell,WAS,G,31,31,12,23.4,2.1,5.7,0.36,1.6,4.5,0.357,0.5,1.2,0.368,0.6,0.7,0.826,0.4,2,2.5,0.5,0.1,1.1,1.5,6.4
Theresa Plaisance,WAS,F,31,31,11,18,2.3,6.5,0.351,1.1,3.7,0.302,1.2,2.8,0.419,0.7,0.9,0.815,0.7,4.4,1.4,0.8,0.7,1.2,2.2,6.4
Candice Dupree,TOT,F,26,26,6,17.8,2.8,6.5,0.435,0,0.3,0.143,2.8,6.3,0.448,0.7,0.8,0.818,0.6,3,0.7,0.5,0.2,0.8,1.1,6.4
Aari McDonald,ATL,G,30,30,4,16.4,1.9,5.8,0.322,1.1,3.5,0.308,0.8,2.3,0.343,1.5,1.7,0.882,0.3,1.6,2,0.8,0.2,1.2,1.8,6.3
Reshanda Gray,NYL,F,15,15,0,14,2.3,4.3,0.531,0.1,0.6,0.222,2.1,3.7,0.582,1.2,1.7,0.692,0.9,3.5,0.3,0.3,0.3,1.4,3.1,5.9
Jazmine Jones,NYL,G,27,27,0,16.6,2,5.5,0.356,0.7,1.7,0.383,1.3,3.8,0.343,1.3,1.7,0.761,0.4,2.4,1.1,0.5,0.4,1.6,2.4,5.9
Jessica Breland,IND,F,26,26,18,20.9,2.6,6.9,0.372,0.2,0.6,0.313,2.4,6.3,0.378,0.5,0.7,0.684,1.4,6.3,2,0.6,1.5,1.8,2,5.8
Jordin Canada,SEA,G,29,29,3,18.7,1.9,5,0.389,0.1,0.5,0.214,1.8,4.5,0.408,1.8,2.2,0.841,0.6,2.3,3,0.7,0.1,1.1,1,5.8
Ruthy Hebard,CHI,F,30,30,6,16.8,2.4,4.6,0.529,0,0.1,0,2.4,4.5,0.537,0.9,1.1,0.794,1.4,4.4,0.8,0.7,0.7,0.6,2,5.8
Epiphanny Prince,SEA,G,29,29,2,14.3,2,4.6,0.439,0.9,1.7,0.5,1.1,2.8,0.402,0.9,1,0.897,0.3,1.6,1.7,0.7,0.2,0.9,1.1,5.8
Elizabeth Williams,ATL,C-F,32,32,32,23.8,2.5,4.8,0.516,0,0,,2.5,4.8,0.516,0.8,1.7,0.509,2,4.9,1.2,1.1,1.3,0.8,1.9,5.8
Kylee Shook,NYL,F,30,30,19,18.9,2.4,5.1,0.467,0.8,2,0.393,1.6,3,0.516,0.1,0.2,0.8,0.7,4,1.4,0.3,0.5,1.3,1.6,5.7
Stephanie Talbot,SEA,F,30,30,9,17.9,2.3,4.8,0.483,0.9,2.2,0.415,1.4,2.6,0.538,0.2,0.3,0.75,0.4,2.9,1.6,0.5,0.4,1.6,1.9,5.7
Sophie Cunningham,PHO,G,30,30,4,17.5,2,4.5,0.437,1.1,2.6,0.41,0.9,1.9,0.474,0.6,0.9,0.704,0.3,2,1.1,0.5,0.2,0.5,1.9,5.6
Emma Cannon,TOT,F,20,20,6,14.8,2.3,5.1,0.446,0.4,1.2,0.292,1.9,3.9,0.494,0.7,0.9,0.722,1.3,3.7,0.9,0.3,0.2,1.6,2.1,5.5
Lindsay Allen,IND,G,32,32,8,17.8,2,4.8,0.428,0.4,1.5,0.298,1.6,3.3,0.486,0.9,1.2,0.811,0.3,1.5,3,0.5,0.1,1,1.1,5.4
Moriah Jefferson,DAL,G,29,29,28,17.2,2.3,5.1,0.449,0.8,1.7,0.46,1.5,3.3,0.443,0.1,0.2,0.6,0.4,2,2.5,0.8,0.2,1.4,1.4,5.4
Shey Peddy,PHO,G,32,32,5,17.5,1.9,4.6,0.412,0.8,2.5,0.333,1.1,2.1,0.507,0.7,0.8,0.92,0.8,2.3,2.5,0.9,0.1,1,1,5.4
Rachel Banham,MIN,G,27,27,0,12.6,1.9,4.8,0.395,1,2.8,0.373,0.9,2,0.426,0.2,0.3,0.625,0.1,1.2,1.6,0.3,0.1,0.9,1.7,5
Bernadett Hatar,IND,C,7,7,2,15.1,2,4.1,0.483,0,0,,2,4.1,0.483,0.9,1,0.857,1,2.6,0.3,0.4,0.4,1.6,2.6,4.9
Tianna Hawkins,ATL,F,28,28,8,15.5,1.8,4.5,0.397,0.6,2.4,0.242,1.2,2.1,0.567,0.8,0.8,0.913,0.5,3.1,0.6,0.4,0.5,1.1,2.2,4.9
Bridget Carleton,MIN,F,32,32,10,19.3,1.7,4.3,0.401,0.8,2.3,0.365,0.9,2,0.444,0.5,0.6,0.8,0.7,2.3,1.5,0.8,0.2,0.8,1.5,4.8
Kia Vaughn,PHO,C,28,28,2,15.8,2.1,4.8,0.444,0,0,0,2.1,4.7,0.447,0.4,0.7,0.6,0.8,2.7,1.3,0.2,0.2,1.3,1.6,4.6
Megan Walker,PHO,F,29,29,7,14.7,1.6,5.1,0.311,0.7,2.6,0.267,0.9,2.5,0.356,0.7,1,0.633,0.2,1.3,0.9,0.2,0.3,0.8,1.8,4.5
Tyasha Harris,DAL,G,32,32,3,16.3,1.5,4.5,0.336,0.6,1.8,0.339,0.9,2.6,0.333,0.8,0.9,0.833,0.3,1.6,2.7,0.4,0.3,1,1.3,4.4
Sydney Wiese,WAS,G,27,27,8,21.4,1.5,4.7,0.323,0.9,2.9,0.291,0.7,1.8,0.375,0.5,0.7,0.778,0.2,1.3,1.6,0.4,0,1,0.7,4.4
Bria Holmes,TOT,G,19,19,5,16.7,1.6,5.1,0.323,0.4,1.7,0.242,1.2,3.3,0.365,0.7,1.2,0.565,1.1,2.6,1.1,0.8,0.3,1.1,1.1,4.4
Kaila Charles,CON,G-F,30,30,4,16.3,1.6,4.4,0.368,0.3,1.1,0.303,1.3,3.3,0.39,0.7,0.8,0.875,1.1,2.8,1.1,0.5,0.4,0.9,2,4.3
Shavonte Zellous,WAS,G,28,28,5,15.8,1.5,4.1,0.377,0.4,1.5,0.244,1.2,2.6,0.452,0.9,1.1,0.806,0.6,2.4,1.6,0.4,0.2,0.8,1.7,4.3
Erica McCall,WAS,F,23,23,6,15.5,1.6,3.2,0.5,0,0,0,1.6,3.2,0.507,0.9,1.4,0.625,1.4,4.3,0.6,0.3,0.4,0.9,2,4.1
Megan Gustafson,WAS,C,11,11,1,9.9,1.7,2.9,0.594,0,0.2,0,1.7,2.7,0.633,0.5,0.8,0.667,1,3.6,0,0.2,0.1,0.8,0.9,4
Natalie Achonwa,MIN,F,21,21,1,12,1.2,2.9,0.426,0,0,0,1.2,2.9,0.433,1.2,1.3,0.893,0.6,2.1,1.2,0.6,0.2,0.6,1.6,3.7
Bria Hartley,PHO,G,6,6,0,8.5,1.5,2.7,0.563,0.7,1.2,0.571,0.8,1.5,0.556,0,0,,0.3,0.7,0.8,0.2,0,0.8,0.2,3.7
Alyssa Thomas,CON,F,3,3,0,12.3,1.3,5,0.267,0,0,,1.3,5,0.267,1,1.3,0.75,0.3,3.3,1.3,0.3,0,1,1.3,3.7
Karlie Samuelson,TOT,G,14,14,3,14.7,1.1,3.1,0.364,0.9,2.2,0.387,0.3,0.9,0.308,0.5,0.6,0.778,0.2,1.9,0.8,0.5,0,0.6,1.5,3.6
Charli Collier,DAL,F-C,28,28,18,12.3,1.4,3.1,0.465,0,0,,1.4,3.1,0.465,0.6,0.8,0.696,1.1,3.6,0.2,0.1,0.2,0.5,1.8,3.4
Kristine Anigwe,TOT,F-C,10,10,1,13.6,1.2,2.9,0.414,0,0,,1.2,2.9,0.414,1,1.8,0.556,1.1,3.3,0.5,0.5,0.1,1.2,2.8,3.4
Dana Evans,TOT,G,29,29,0,7.6,0.9,2.7,0.342,0.6,1.6,0.4,0.3,1.2,0.265,0.8,0.9,0.885,0,0.4,1,0.2,0,0.6,0.7,3.3
Arella Guirantes,LAS,G,25,25,2,11.6,1,3.8,0.274,0.2,1.1,0.222,0.8,2.7,0.294,0.8,1,0.808,0.2,1.3,0.6,0.3,0.2,0.5,1,3.2
Leaonna Odom,NYL,F,18,18,0,12.1,1.2,2.5,0.467,0.3,0.9,0.294,0.9,1.6,0.571,0.5,0.7,0.75,0.6,1.2,0.4,0.3,0.3,0.6,1.4,3.1
Kennedy Burke,SEA,G,23,23,0,7.7,1.1,2.4,0.446,0.3,0.8,0.333,0.8,1.7,0.5,0.4,0.7,0.625,0.3,0.8,0.3,0.3,0.1,0.5,0.6,2.9
DiJonai Carrington,CON,G-F,24,24,1,9.2,1.1,3.4,0.329,0.1,0.9,0.143,1,2.5,0.393,0.5,0.6,0.733,0.6,2,0.5,0.5,0.1,0.9,1.5,2.8
Kiara Leslie,WAS,G,9,9,0,9.6,0.9,2.7,0.333,0.2,0.8,0.286,0.7,1.9,0.353,0.8,0.9,0.875,0.2,2.2,0.2,0.4,0,0.4,1.2,2.8
Bella Alarie,DAL,C-F,31,31,11,13.1,1,2.1,0.5,0,0.1,0,1,2,0.516,0.5,0.6,0.85,1.4,3.3,0.5,0.6,0.6,0.6,1.4,2.6
Lauren Cox,TOT,F,26,26,0,11.7,1,2.5,0.385,0.1,0.3,0.25,0.9,2.2,0.404,0.6,0.8,0.8,0.6,3,0.5,0.5,0.6,0.6,1.1,2.6
Joyner Holmes,TOT,F,5,5,0,5.6,1,2,0.5,0.6,0.8,0.75,0.4,1.2,0.333,0,0,,0,0.8,0.6,0,0.2,0.4,0.6,2.6
Shekinna Stricklen,ATL,F,24,24,0,9.8,0.9,3.5,0.259,0.6,2.8,0.212,0.3,0.8,0.421,0.1,0.2,0.4,0.1,0.9,0.3,0.4,0.2,0.1,1.1,2.5
Stephanie Watts,CHI,G,6,6,0,14,0.7,3.2,0.211,0.2,1.7,0.1,0.5,1.5,0.333,1,1.3,0.75,1.3,3.7,0.5,0.5,0.3,1.3,2.2,2.5
Awak Kuier,DAL,F-C,16,16,0,8.9,0.8,2.4,0.308,0.2,1.1,0.167,0.6,1.3,0.429,0.7,0.9,0.786,0.6,2.4,0.6,0.3,0.8,1,0.6,2.4
Blake Dietrick,ATL,G,9,9,0,15.7,0.9,3,0.296,0.6,1.8,0.313,0.3,1.2,0.273,0,0,,0.3,1.6,1.2,0.6,0.1,0.6,2.2,2.3
DiDi Richards,NYL,G-F,31,31,0,11.2,0.9,2.1,0.422,0.3,0.7,0.455,0.5,1.4,0.405,0.2,0.3,0.6,0.3,1.1,0.8,0.5,0.2,0.5,0.8,2.3
Chelsey Perry,IND,F,6,6,0,6.7,0.8,3,0.278,0.3,1.5,0.222,0.5,1.5,0.333,0.2,0.3,0.5,0,1,0.3,0.5,0,0.3,1.2,2.2
Brittany Boyd,CHI,G,2,2,0,11,0.5,2,0.25,0.5,1,0.5,0,1,0,0.5,1,0.5,0,1,2,1,0,2,1,2
Kalani Brown,ATL,C,1,1,0,5,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,0,0,0,0,0,2
Shyla Heal,CHI,G,4,4,0,7.8,0.3,2,0.125,0,0.8,0,0.3,1.3,0.2,1.5,1.5,1,0.3,0.8,0.8,0,0,2.5,1.5,2
Stella Johnson,WAS,G,6,6,0,5.2,0.5,1.3,0.375,0.3,0.8,0.4,0.2,0.5,0.333,0.7,0.7,1,0.5,0.5,0.3,0,0.2,0.8,1.2,2
JiSu Park,LVA,C,25,25,0,8.9,0.7,2.1,0.327,0,0.2,0,0.7,1.9,0.354,0.6,0.7,0.833,0.6,1.8,0.8,0.1,0.6,0.8,1.1,2
Jessica Shepard,MIN,F,22,22,0,10.5,0.7,2,0.364,0,0.5,0.083,0.7,1.5,0.469,0.5,0.7,0.75,1.1,3.2,1.7,0.1,0.2,0.8,0.9,2
Kysre Gondrezick,IND,G,19,19,0,9.1,0.7,2.4,0.283,0.4,1.5,0.286,0.3,0.9,0.278,0.1,0.2,0.5,0.2,1,0.9,0.4,0,0.9,0.7,1.9
Beatrice Mompremier,CON,F,32,32,0,8.6,0.8,1.7,0.491,0,0,,0.8,1.7,0.491,0.2,0.4,0.417,0.9,2.4,0.2,0.4,0.3,0.6,1.4,1.8
